,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
SiO2,1,0.8494932341,0.9072724851,0.9030999174,0.9108397765,0.9317701641,0.8971010918,0.93078288,0.873496557,0.8546103436,0.9166415013,0.8636719126,0.8664979538,0.8500657287
Na2O,0.8538648561,1,0.8871184868,0.8901288608,0.8529594433,0.8700574932,0.8649313493,0.8604061743,0.9001147493,0.8623582821,0.8556668885,0.8645482316,0.8968830613,0.8674579203
K2O,0.9022971443,0.8793600066,1,0.9568175439,0.9193675602,0.9405891658,0.9276575047,0.9260069536,0.8859507948,0.8615966816,0.9067464164,0.9003256294,0.8702626066,0.8681195665
CaO,0.9055234436,0.8901288608,0.9600688788,1,0.9267031603,0.9486979578,0.9429029824,0.9379387487,0.8925655358,0.8697403017,0.9088926458,0.8836025111,0.8692224604,0.881307964
MgO,0.9034992005,0.8401033121,0.9172570224,0.9191170393,1,0.94092209,0.9342876091,0.9087454665,0.8757849888,0.8931516491,0.9185120915,0.9172710862,0.8714081019,0.8704385692
Al2O3,0.9306625971,0.8666281407,0.9433987752,0.947180671,0.9452276407,1,0.9384046247,0.9297165297,0.8908086281,0.8856549835,0.9375262321,0.897606282,0.8668109598,0.8607549105
Fe2O3,0.8997087483,0.8649313493,0.9326839395,0.9429029824,0.9405474814,0.9401730994,1,0.9448005651,0.885797858,0.8993116007,0.9440922391,0.9151327429,0.8726894785,0.8792470726
CuO,0.9317589596,0.8604061743,0.9313848555,0.9379387487,0.9174742002,0.9317691673,0.9448005651,1,0.8887756672,0.8820445637,0.9180772311,0.8824731243,0.8669460352,0.8710393761
PbO,0.8768948229,0.9001147493,0.8933447591,0.8925655358,0.8864533362,0.8937303819,0.885797858,0.8887756672,1,0.9340393319,0.8751459136,0.8913956071,0.8862273082,0.8568021672
BaO,0.8589126957,0.8623582821,0.8704193289,0.8697403017,0.9022605422,0.8886672454,0.8993116007,0.8820445637,0.9340393319,1,0.9028037477,0.9214087922,0.8914011466,0.8619760056
P2O5,0.9126358413,0.8475035588,0.9074393295,0.9030209134,0.921223206,0.9350836658,0.9401484375,0.9125946284,0.8676530073,0.8968218208,1,0.9219374221,0.8757374748,0.859331925
SrO,0.8501405851,0.8504292186,0.8948483606,0.8686570828,0.9147031602,0.8868329628,0.9037246879,0.8668440022,0.8787339457,0.91207384,0.9167524182,1,0.8857865533,0.8538055053
SnO2,0.8697429516,0.8968830613,0.8777535293,0.8692224604,0.8812063126,0.8699642034,0.8726894785,0.8669460352,0.8862273082,0.8914011466,0.8819177821,0.8955874151,1,0.8965007849
SO2,0.8544221247,0.8674579203,0.8764246283,0.881307964,0.8812782992,0.864307408,0.8792470726,0.8710393761,0.8568021672,0.8619760056,0.8668707234,0.8677764181,0.8965007849,1
