,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
SiO2,0,-0.0500771684,-0.01270230653,-0.01813743657,-0.0206492771,-0.02130843035,-0.01394500341,0.01567613514,-0.06084924383,-0.08113812783,0.02083734396,-0.0605064713,-0.01782028588,-0.03207811584
Na2O,-0.04728808031,0,-0.003062295411,0.01335360674,-0.03421173042,-0.02496187833,-0.01779594488,-0.02143191954,0.01610038482,-0.02526108421,-0.01023157529,-0.02369395791,0.004453591261,-0.02684205415
K2O,-0.01578857626,-0.006983746022,0,0.04991224059,0.0001150286149,0.02043016385,0.01553928956,0.02840793573,-0.01382490696,-0.04432709183,0.0158189042,-0.003069966724,-0.03238113187,-0.02352871813
CaO,-0.01537074874,0.01563438832,0.05142949053,0,-0.005616199843,0.01789801149,0.0144584611,0.02077135863,-0.05303921382,-0.05114154712,-0.03704707241,-0.05378194118,-0.02237638583,-0.006680069235
MgO,-0.02455972311,-0.0404049001,-0.0001940893569,-0.01014214053,0,-0.001559386205,0.01942101628,0.01665021686,-0.04516243006,-0.00532533291,0.009688221651,-0.001759576271,-0.01818537351,-0.003672752431
Al2O3,-0.01938442089,-0.02027748486,0.02622700673,0.02049457744,0.003436499198,0,0.02422735043,0.02286070745,-0.04191688243,-0.03662996252,0.03545095121,-0.0232180791,-0.0188858385,-0.01455556721
Fe2O3,-0.01028283058,-0.01492628695,0.01963217353,0.01503352131,0.02286506176,0.02194333063,0,0.0528221154,-0.02008842053,0.006997841936,0.03319043092,0.01602951478,-0.03301765835,-0.004062372455
CuO,0.01252564324,-0.02508958014,0.02698554151,0.0164727141,0.01577214033,0.01541144298,0.04673715332,0,-0.03369120377,-0.06234894984,0.00164540079,-0.04217071784,-0.01888506085,-0.04053630594
PbO,-0.05996104153,0.01396675539,-0.01213510841,-0.05547122375,-0.04102841413,-0.04537448157,-0.02452662982,-0.0326058589,0,-0.00975777747,-0.05125790879,-0.06446156586,0.0009527319466,-0.03154700775
BaO,-0.07827465778,-0.02604534424,-0.03967045057,-0.05332647563,-0.003002579242,-0.03983371981,0.003373606333,-0.06073936242,-0.008867223594,0,-0.008392685178,-0.02162502008,0.006519416585,-0.04640342547
P2O5,0.01289542386,-0.02098636685,0.01040902294,-0.04518469166,0.004993205348,0.02377340042,0.02508762692,-0.002781967591,-0.05880242731,-0.01563982093,0,-0.003588136603,-0.01387064347,-0.04044853591
SrO,-0.07576037239,-0.03850272347,-0.01271746965,-0.07042677833,-0.009815682247,-0.04040296714,0.001273535059,-0.05564456829,-0.07628536605,-0.03090946632,-0.007615387279,0,-0.0003435930446,-0.0408100293
SnO2,-0.01977248316,0.001721907041,-0.03065932136,-0.02747611189,-0.01717919593,-0.02661164009,-0.03779468906,-0.01888506085,-0.0005841404582,0.003807430903,-0.008881403155,0.00668582214,0,-0.02022812944
SO2,-0.03298322413,-0.02951025561,-0.02143029773,-0.0118469885,-0.00274153207,-0.02266682606,-0.009800725411,-0.04053630594,-0.03301453728,-0.04858972842,-0.03397712555,-0.02938410498,-0.02022812944,0
