类型,母序列,有效比较数,均值,标准差,最大关联成分,最小关联成分
高钾,SiO2,13,0.8888725805,0.02917026117,Al2O3,Na2O
高钾,Na2O,13,0.8712689075,0.01587294855,PbO,MgO
高钾,K2O,13,0.9034690442,0.02853533005,CaO,BaO
高钾,CaO,13,0.909022727,0.02994608507,K2O,SnO2
高钾,MgO,13,0.9008075559,0.02793814041,Al2O3,Na2O
高钾,Al2O3,13,0.9107985365,0.03210183463,CaO,SO2
高钾,Fe2O3,13,0.9124630121,0.0290046014,CuO,Na2O
高钾,CuO,13,0.904991436,0.02910476346,Fe2O3,Na2O
高钾,PbO,13,0.889329803,0.01666414692,BaO,SO2
高钾,BaO,13,0.8881033526,0.02262892806,PbO,SiO2
高钾,P2O5,13,0.9000870177,0.02802740884,Fe2O3,Na2O
高钾,SrO,13,0.8833332556,0.02330130988,P2O5,SiO2
高钾,SnO2,13,0.8812340361,0.01076089339,Na2O,CuO
高钾,SO2,13,0.8711854533,0.01110023989,SnO2,SiO2
铅钡,SiO2,13,0.9160032257,0.02020002696,Al2O3,SO2
铅钡,Na2O,13,0.8867206719,0.008602679741,SiO2,P2O5
铅钡,K2O,13,0.9042137038,0.01061868417,Al2O3,Na2O
铅钡,CaO,13,0.9186274553,0.02145966762,P2O5,Na2O
铅钡,MgO,13,0.9089003443,0.01970142682,Al2O3,SO2
铅钡,Al2O3,13,0.9140424706,0.02136476392,SiO2,SO2
铅钡,Fe2O3,13,0.904298672,0.01371760326,CaO,Na2O
铅钡,CuO,13,0.9116969577,0.01579590664,BaO,Na2O
铅钡,PbO,13,0.9211149976,0.02325111295,SrO,SnO2
铅钡,BaO,13,0.9170485773,0.0199552218,SrO,SnO2
铅钡,P2O5,13,0.9096365494,0.01878565401,CaO,Na2O
铅钡,SrO,13,0.9185610147,0.02046397028,PbO,SnO2
铅钡,SnO2,13,0.8962999603,0.009517551488,SO2,CuO
铅钡,SO2,13,0.8970862057,0.009968629462,SnO2,MgO
