类型,母序列,子序列,重算关联度,论文表28_参考,差值
高钾,SiO2,Na2O,0.8494932341,0.893,-0.04350676587
高钾,SiO2,K2O,0.9072724851,0.972,-0.06472751489
高钾,SiO2,CaO,0.9030999174,0.921,-0.01790008255
高钾,SiO2,MgO,0.9108397765,0.981,-0.07016022354
高钾,SiO2,Al2O3,0.9317701641,0.98,-0.0482298359
高钾,SiO2,Fe2O3,0.8971010918,0.982,-0.08489890823
高钾,SiO2,CuO,0.93078288,0.951,-0.02021711997
高钾,SiO2,PbO,0.873496557,0.97,-0.09650344302
高钾,SiO2,BaO,0.8546103436,0.962,-0.1073896564
高钾,SiO2,P2O5,0.9166415013,0.986,-0.06935849868
高钾,SiO2,SrO,0.8636719126,0.968,-0.1043280874
高钾,SiO2,SnO2,0.8664979538,0.962,-0.0955020462
高钾,SiO2,SO2,0.8500657287,0.962,-0.1119342713
铅钡,SiO2,Na2O,0.8995704025,0.899,0.000570402526
铅钡,SiO2,K2O,0.9199747916,0.977,-0.05702520835
铅钡,SiO2,CaO,0.921237354,0.969,-0.04776264598
铅钡,SiO2,MgO,0.9314890536,0.975,-0.04351094644
铅钡,SiO2,Al2O3,0.9530785945,0.667,0.2860785945
铅钡,SiO2,Fe2O3,0.9110460952,0.973,-0.06195390481
铅钡,SiO2,CuO,0.9151067449,0.978,-0.0628932551
铅钡,SiO2,PbO,0.9343458008,0.991,-0.05665419919
铅钡,SiO2,BaO,0.9357484714,0.987,-0.05125152857
铅钡,SiO2,P2O5,0.8958041574,0.949,-0.05319584265
铅钡,SiO2,SrO,0.9241783839,0.987,-0.06282161613
铅钡,SiO2,SnO2,0.8843182397,0.959,-0.07468176032
铅钡,SiO2,SO2,0.8821438446,0.932,-0.04985615542
